,Unnamed: 0,woodyrip_class,pointid,near_woody
441,441,Quercus lobata,749492,1626.40376997
442,442,Quercus lobata,749493,1653.37070164
443,443,Quercus lobata,749494,1680.44045743
444,444,Quercus lobata,749495,1707.60814737
445,445,Quercus lobata,749594,1185.31897857
446,446,Quercus lobata,749595,1208.72930593
447,447,Quercus lobata,749596,1232.4252468
448,448,Quercus lobata,749597,1256.39064107
449,449,Quercus lobata,749598,1280.61036112
450,450,Quercus lobata,749599,1305.07024752
451,451,Quercus lobata,749600,1329.75704734
452,452,Quercus lobata,749601,1354.65835509
453,453,Quercus lobata,749602,1379.76255673
454,454,Quercus lobata,749603,1405.05877705
455,455,Quercus lobata,749604,1430.53682966
456,456,Quercus lobata,749605,1456.18717031
457,457,Quercus lobata,749606,1482.00085323
458,458,Quercus lobata,749607,1507.96949008
459,459,Quercus lobata,749608,1534.08521177
460,460,Quercus lobata,749609,1560.34063299
461,461,Quercus lobata,749610,1586.72881899
462,462,Quercus lobata,749611,1613.24325474
463,463,Quercus lobata,749612,1639.87781647
464,464,Quercus lobata,749613,1666.62674496
465,465,Quercus lobata,749614,1693.48462082
466,466,Quercus lobata,749615,1720.44634179
467,467,Quercus lobata,749616,1747.50710128
468,468,Quercus lobata,749617,1774.66236872
469,469,Quercus lobata,749715,1227.53271443
470,470,Quercus lobata,749716,1250.87250308
471,471,Quercus lobata,749717,1274.49106429
472,472,Quercus lobata,749718,1298.3731848
473,473,Quercus lobata,749719,1322.50458637
474,474,Quercus lobata,749720,1346.87187028
475,475,Quercus lobata,749721,1371.46246358
476,476,Quercus lobata,749722,1396.26456768
477,477,Quercus lobata,749723,1421.26710965
478,478,Quercus lobata,749724,1446.45969561
479,479,Quercus lobata,749725,1471.83256689
480,480,Quercus lobata,749726,1497.37655884
481,481,Quercus lobata,749727,1523.08306176
482,482,Quercus lobata,749728,1548.94398445
483,483,Quercus lobata,749729,1574.9517202
484,484,Quercus lobata,749730,1601.09911468
485,485,Quercus lobata,749731,1627.37943607
486,486,Quercus lobata,749732,1653.78634743
487,487,Quercus lobata,749733,1680.31388051
488,488,Quercus lobata,749734,1706.95641156
489,489,Quercus lobata,749735,1733.708639
490,490,Quercus lobata,749736,1760.56556226
491,491,Quercus lobata,749737,1787.52246223
492,492,Quercus lobata,749738,1814.57488326
493,493,Quercus lobata,749739,1841.71861614
494,494,Quercus lobata,749740,1868.9496823
495,495,Quercus lobata,749837,1293.03422343
496,496,Quercus lobata,749838,1316.58002302
497,497,Quercus lobata,749839,1340.3836805
498,498,Quercus lobata,749840,1364.43170037
499,499,Quercus lobata,749841,1388.71138795
500,500,Quercus lobata,749842,1413.21080273
501,501,Quercus lobata,749843,1437.91871361
502,502,Quercus lobata,749844,1462.82455579
503,503,Quercus lobata,749845,1487.91838989
504,504,Quercus lobata,749846,1513.19086336
505,505,Quercus lobata,749847,1538.63317364
506,506,Quercus lobata,749848,1564.2370335
507,507,Quercus lobata,749849,1589.99463866
508,508,Quercus lobata,749850,1615.89863699
509,509,Quercus lobata,749851,1641.94209976
510,510,Quercus lobata,749852,1668.11849488
511,511,Quercus lobata,749853,1694.42166152
512,512,Quercus lobata,749854,1720.84578651
513,513,Quercus lobata,749855,1747.3853824999999
514,514,Quercus lobata,749856,1774.03526713
515,515,Quercus lobata,749857,1800.79054389
516,516,Quercus lobata,749858,1827.64658426
517,517,Quercus lobata,749859,1854.59901085
518,518,Quercus lobata,749860,1881.64368172
519,519,Quercus lobata,749861,1908.77667603
520,520,Quercus lobata,749862,1935.99428022
521,521,Quercus lobata,749958,1335.21271227
522,522,Quercus lobata,749959,1358.68997235
523,523,Quercus lobata,749960,1382.41957993
524,524,Quercus lobata,749961,1406.38876169
525,525,Quercus lobata,749962,1430.58547559
526,526,Quercus lobata,749963,1454.99837009
527,527,Quercus lobata,749964,1479.61674464
528,528,Quercus lobata,749965,1504.43051184
529,529,Quercus lobata,749966,1529.43016152
530,530,Quercus lobata,749967,1554.60672616
531,531,Quercus lobata,749968,1579.9517483
532,532,Quercus lobata,749969,1605.45724981
533,533,Quercus lobata,749970,1631.11570253
534,534,Quercus lobata,749971,1656.92000077
535,535,Quercus lobata,749972,1682.86343562
536,536,Quercus lobata,749973,1708.93967039
537,537,Quercus lobata,749974,1735.14271775
538,538,Quercus lobata,749975,1761.4669184999998
539,539,Quercus lobata,749976,1787.90692124
540,540,Quercus lobata,749977,1814.45766359
541,541,Quercus lobata,749978,1841.11435467
542,542,Quercus lobata,749979,1867.87245845
543,543,Quercus lobata,749980,1894.72767831
544,544,Quercus lobata,749981,1921.67594275
545,545,Quercus lobata,749982,1948.71339171
546,546,Quercus lobata,749983,1975.83636391
547,547,Quercus lobata,749984,2003.04138523
548,548,Quercus lobata,750080,1400.81901935
549,549,Quercus lobata,750081,1424.4786341
550,550,Quercus lobata,750082,1448.37316772
551,551,Quercus lobata,750083,1472.491184
552,552,Quercus lobata,750084,1496.82188019
553,553,Quercus lobata,750085,1521.35505223
554,554,Quercus lobata,750086,1546.08106157
555,555,Quercus lobata,750087,1570.99080297
556,556,Quercus lobata,750088,1596.07567394
557,557,Quercus lobata,750089,1621.32754586
558,558,Quercus lobata,750090,1646.73873611
559,559,Quercus lobata,750091,1672.30198199
560,560,Quercus lobata,750092,1698.01041603
561,561,Quercus lobata,750093,1723.85754256
562,562,Quercus lobata,750094,1749.83721556
563,563,Quercus lobata,750095,1775.94361818
564,564,Quercus lobata,750096,1802.17124298
565,565,Quercus lobata,750097,1828.5148735999999
566,566,Quercus lobata,750098,1854.96956766
567,567,Quercus lobata,750099,1881.53064047
568,568,Quercus lobata,750100,1908.19364975
569,569,Quercus lobata,750101,1934.95438162
570,570,Quercus lobata,750102,1961.80883703
571,571,Quercus lobata,750103,1988.75321922
572,572,Quercus lobata,750104,2015.78392219
573,573,Quercus lobata,750105,2042.89751947
574,574,Quercus lobata,750106,2070.0907537999997
575,575,Quercus lobata,750202,1442.96549128
576,576,Quercus lobata,750203,1466.55885083
577,577,Quercus lobata,750204,1490.38260757
578,578,Quercus lobata,750205,1514.42588825
579,579,Quercus lobata,750206,1538.67840206
580,580,Quercus lobata,750207,1563.13041009
581,581,Quercus lobata,750208,1587.77269564
582,582,Quercus lobata,750209,1612.5965357
583,583,Quercus lobata,750210,1637.59367395
584,584,Quercus lobata,750211,1662.75629454
585,585,Quercus lobata,750212,1688.07699734
586,586,Quercus lobata,750213,1713.54877461
587,587,Quercus lobata,750214,1739.16498844
588,588,Quercus lobata,750215,1764.9193497
589,589,Quercus lobata,750216,1790.80589818
590,590,Quercus lobata,750217,1816.81898356
591,591,Quercus lobata,750218,1842.95324763
592,592,Quercus lobata,750219,1869.20360768
593,593,Quercus lobata,750220,1895.56524051
594,594,Quercus lobata,750221,1922.0335676
595,595,Quercus lobata,750222,1948.60424124
596,596,Quercus lobata,750223,1975.27313125
