,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,accesstype,unitname,AGNCY_NAME,pointid,near_cpad
194,194,194,194,Open Access,Carolo Gabriault Park,"Merced, City of",1745252,1791.52671052
195,195,195,195,Open Access,Carolo Gabriault Park,"Merced, City of",1745253,1762.51602106
196,196,196,196,Open Access,Carolo Gabriault Park,"Merced, City of",1745254,1733.53900864
197,197,197,197,Open Access,Carolo Gabriault Park,"Merced, City of",1745255,1704.59739073
198,198,198,198,Open Access,Carolo Gabriault Park,"Merced, City of",1745256,1675.69300127
199,199,199,199,Open Access,Carolo Gabriault Park,"Merced, City of",1745257,1646.8278005000002
200,200,200,200,Open Access,Carolo Gabriault Park,"Merced, City of",1745258,1618.00388581
201,201,201,201,Open Access,Carolo Gabriault Park,"Merced, City of",1745259,1589.22350363
202,202,202,202,Open Access,Carolo Gabriault Park,"Merced, City of",1745260,1560.4890626
203,203,203,203,Open Access,Carolo Gabriault Park,"Merced, City of",1745261,1531.80314809
204,204,204,204,Open Access,Carolo Gabriault Park,"Merced, City of",1745262,1503.16853828
205,205,205,205,Open Access,Carolo Gabriault Park,"Merced, City of",1745263,1474.58822201
206,206,206,206,Open Access,Carolo Gabriault Park,"Merced, City of",1745264,1446.06541847
207,207,207,207,Open Access,Carolo Gabriault Park,"Merced, City of",1745265,1417.60359921
208,208,208,208,Open Access,Carolo Gabriault Park,"Merced, City of",1745266,1389.20651254
209,209,209,209,Open Access,Carolo Gabriault Park,"Merced, City of",1745267,1360.87821075
210,210,210,210,Open Access,Carolo Gabriault Park,"Merced, City of",1745268,1332.62308043
211,211,211,211,Open Access,Carolo Gabriault Park,"Merced, City of",1745269,1304.44587641
212,212,212,212,Open Access,Carolo Gabriault Park,"Merced, City of",1745270,1276.3517597
213,213,213,213,Open Access,Carolo Gabriault Park,"Merced, City of",1745271,1248.34633996
214,214,214,214,Open Access,Carolo Gabriault Park,"Merced, City of",1745272,1220.43572321
215,215,215,215,Open Access,Carolo Gabriault Park,"Merced, City of",1745273,1192.6265654000001
216,216,216,216,Open Access,Carolo Gabriault Park,"Merced, City of",1745274,1164.92613263
217,217,217,217,Open Access,Carolo Gabriault Park,"Merced, City of",1745324,3439.47765227
218,218,218,218,Open Access,Carolo Gabriault Park,"Merced, City of",1745325,3409.70692149
219,219,219,219,Open Access,Carolo Gabriault Park,"Merced, City of",1745326,3379.94024511
220,220,220,220,Open Access,Carolo Gabriault Park,"Merced, City of",1745327,3350.17773118
221,221,221,221,Open Access,Carolo Gabriault Park,"Merced, City of",1745328,3320.41949164
222,222,222,222,Open Access,Carolo Gabriault Park,"Merced, City of",1745329,3290.66564246
223,223,223,223,Open Access,Carolo Gabriault Park,"Merced, City of",1745330,3260.91630381
