CUSTOMCODE,LC2030MOD,evt_nick_mod,evt_name_mod,ipcc_soil_mod,soc_mod,total_mass_mod,tot_mass_mod,n20_em_mod,ch4_em_mod,gridcode14
3112,Forest,California Central Valley Mixed Oak Savanna,California Central Valley Mixed Oak Savanna,LAC,36.18,455.03424,227.51712,0,0,3585
7,Orchard,Orchard,California Central Valley Mixed Oak Savanna,LAC,30.528,446.112,30.744,-3.546,0,4078
2,Grassland,Grassland,California Central Valley Mixed Oak Savanna,Wetland,49.446,446.112,3.6,-0.107982,0,3765
2,Grassland,Grassland,California Central Valley Mixed Oak Savanna,HAC,38.016,446.112,3.6,-0.107982,0,5381
7,Orchard,Orchard,California Central Valley Mixed Oak Savanna,NA,21.168,446.112,30.744,-3.546,0,4298
3112,Forest,California Central Valley Mixed Oak Savanna,California Central Valley Mixed Oak Savanna,Sandy,27.126,446.112,223.056,0,0,3960
9,Annual Cropland,Annual Cropland,California Central Valley Mixed Oak Savanna,Wetland,39.731292,446.112,3.6,-4.626,0,5031
0,Wetland,Wetland,California Central Valley Mixed Oak Savanna,Wetland,49.446,446.112,5.4,0,-6.6735,4667
0,Wetland,Wetland,California Central Valley Mixed Oak Savanna,LAC,36.18,446.112,5.4,0,-6.6735,4316
7,Orchard,Orchard,California Central Valley Mixed Oak Savanna,Sandy,21.168,446.112,30.744,-3.546,0,3316
0,Wetland,Wetland,California Central Valley Mixed Oak Savanna,HAC,38.016,446.112,5.4,0,-6.6735,5620
